tweet_id,user_id,modified_text,maori_words_rmt,tokens,hashtags
1001,x10,"Living by the Moon: Te Maramataka a Te Whānau-ā-Apanui, Wiremu Tāwhai Te Whānau-ā-Apanui, Te Whakatōhea, Ngāti Awa <link>","['te', 'maramataka', 'te', 'wiremu', 'tāwhai', 'te', 'te', 'whakatōhea', 'ngāti', 'awa']","['living', 'by', 'the', 'moon', 'te', 'maramataka', 'a', 'te', 'whānau', 'ā', 'apanui', 'wiremu', 'tāwhai', 'te', 'whānau', 'ā', 'apanui', 'te', 'whakatōhea', 'ngāti', 'awa']",[]
1002,x11,"Ahakoa he iti, he iti pounamu tonu! Just quietly celebrating our overseas whanaunga using te reo Māori correctly & appropriately, [whilst some of our own (who should) still don't even try!] #tereo #kiatika #kiarere #kiaMāori <link>","['ahakoa', 'he', 'iti', 'he', 'iti', 'pounamu', 'tonu', 'whanaunga', 'te', 'reo', 'māori', 'tereo', 'kiatika', 'kiarere', 'kiamāori']","['ahakoa', 'he', 'iti', 'he', 'iti', 'pounamu', 'tonu', 'just', 'quietly', 'celebrating', 'our', 'overseas', 'whanaunga', 'using', 'te', 'reo', 'māori', 'correctly', 'appropriately', 'whilst', 'some', 'of', 'our', 'own', 'who', 'should', 'still', 'do', 'not', 'even', 'try']","['#tereo', '#kiatika', '#kiarere', '#kiamāori']"
1003,x12,Mā UFB ka rapu tāne ahau mo ia rā Valentines #gigatowngis #tweetaz #rvbw,"['mā', 'ka', 'rapu', 'tāne', 'ahau', 'mo', 'ia', 'rā']","['mā', 'ufb', 'ka', 'rapu', 'tāne', 'ahau', 'mo', 'ia', 'rā', 'valentines']","['#gigatowngis', '#tweetaz', '#rvbw']"
1004,x13,Our beautiful punga @ Aro Valley <link>,"['punga', 'aro']","['our', 'beautiful', 'punga', 'aro', 'valley']",[]
1005,x14,#TeKaea tommorow Maori Television Online special of #IkaroaRawhiti special <link>,"['tekaea', 'maori', 'ikaroarawhiti']","['tommorow', 'maori', 'television', 'online', 'special', 'of', 'special']","['#tekaea', '#ikaroarawhiti']"
1006,x15,<user> <user> too māori for pākehā bt too pākehā for māori,"['māori', 'pākehā', 'pākehā', 'māori']","['too', 'māori', 'for', 'pākehā', 'bt', 'too', 'pākehā', 'for', 'māori']",[]
1007,x16,"<user> <user> <user> <user> <user> Tomato pure, I mean.","['tomato', 'pure']","['tomato', 'pure', 'i', 'mean']",[]
1008,x17,<user> really touching story tonite with Hoani John. Tino pai!!,"['tonite', 'hoani', 'tino', 'pai']","['really', 'touching', 'story', 'tonite', 'with', 'hoani', 'john', 'tino', 'pai']",[]
1009,x18,Ohhhh he's tooo cute!! Manukura Little White Kiwi <3 <link>,"['tooo', 'manukura', 'kiwi']","['ohhhh', 'he', 'is', 'tooo', 'cute', 'manukura', 'little', 'white', 'kiwi']",[]
1010,x19,smashed those sausage rolls at morning tea. #NgaKaiPai #HangiApopo <link>,"['tea', 'ngakaipai', 'hangiapopo']","['smashed', 'those', 'sausage', 'rolls', 'at', 'morning', 'tea']","['#ngakaipai', '#hangiapopo']"
1011,x20,<user> Cup of weak tea: Me: 'Civic republicanism.' You: 'Tea leaves.',"['tea', 'me', 'tea']","['cup', 'of', 'weak', 'tea', 'me', 'civic', 'republicanism', 'you', 'tea', 'leaves']",[]
1012,x21,Please take time to read this weeks upate #kaikoura #whalewatch <link>,"['take', 'upate', 'kaikoura']","['please', 'take', 'time', 'to', 'read', 'this', 'weeks', 'upate']","['#kaikoura', '#whalewatch']"
1013,x22,Maori students take legislation to Waitangi Tribunal <link>,"['maori', 'take', 'waitangi']","['maori', 'students', 'take', 'legislation', 'to', 'waitangi', 'tribunal']",[]
1014,x23,"Anei ngā kupu mo te waiata 'AOTEAROA' Here are the lyrics for the song 'AOTEAROA' CHORUS Nō tawhiti, nō tata nō... <link>","['anei', 'ngā', 'kupu', 'mo', 'te', 'waiata', 'aotearoa', 'here', 'aotearoa', 'nō', 'tawhiti', 'nō', 'tata', 'nō']","['anei', 'ngā', 'kupu', 'mo', 'te', 'waiata', 'aotearoa', 'here', 'are', 'the', 'lyrics', 'for', 'the', 'song', 'aotearoa', 'chorus', 'nō', 'tawhiti', 'nō', 'tata', 'nō']",[]
1015,x24,"Kia ora koutou katoa, on this glorious Friday morning in Aotearoa. We have over 300+ favourite pages here at... <link>","['kia', 'ora', 'koutou', 'katoa', 'aotearoa', 'here']","['kia', 'ora', 'koutou', 'katoa', 'on', 'this', 'glorious', 'friday', 'morning', 'in', 'aotearoa', 'we', 'have', 'over', 'favourite', 'pages', 'here', 'at']",[]
1016,x25,"<user> oh man, take me, take me!!","['take', 'me', 'take', 'me']","['oh', 'man', 'take', 'me', 'take', 'me']",[]
