tweet_id,user_id,modified_text,hashtags,Token-list,Unknown_list,Ambiguous_list,English_TokensF,Maori_TokensF
1001,x10,"Living by the Moon: Te Maramataka a Te Whānau-ā-Apanui, Wiremu Tāwhai Te Whānau-ā-Apanui, Te Whakatōhea, Ngāti Awa <link>",[],"['living', 'by', 'the', 'moon', 'te', 'maramataka', 'a', 'te', 'whānau', 'ā', 'apanui', 'wiremu', 'tāwhai', 'te', 'whānau', 'ā', 'apanui', 'te', 'whakatōhea', 'ngāti', 'awa']",[],[],"['living', 'by', 'the', 'moon', 'a']","['te', 'maramataka', 'te', 'wiremu', 'tāwhai', 'te', 'te', 'ngāti', 'awa', 'whānau', 'ā', 'whānau', 'ā', 'whakatōhea', 'apanui', 'apanui']"
1002,x11,"Ahakoa he iti, he iti pounamu tonu! Just quietly celebrating our overseas whanaunga using te reo Māori correctly & appropriately, [whilst some of our own (who should) still don't even try!] #tereo #kiatika #kiarere #kiaMāori <link>","['#tereo', '#kiatika', '#kiarere', '#kiamāori']","['ahakoa', 'he', 'iti', 'he', 'iti', 'pounamu', 'tonu', 'just', 'quietly', 'celebrating', 'our', 'overseas', 'whanaunga', 'using', 'te', 'reo', 'māori', 'correctly', 'appropriately', 'whilst', 'some', 'of', 'our', 'own', 'who', 'should', 'still', 'do', 'not', 'even', 'try']",[],[],"['he', 'he', 'just', 'quietly', 'celebrating', 'our', 'overseas', 'correctly', 'appropriately', 'whilst', 'some', 'of', 'our', 'own', 'who', 'should', 'still', 'do', 'not', 'even', 'try']","['ahakoa', 'iti', 'iti', 'pounamu', 'tonu', 'whanaunga', 'te', 'reo', 'māori', 'using']"
1003,x12,Mā UFB ka rapu tāne ahau mo ia rā Valentines #gigatowngis #tweetaz #rvbw,"['#gigatowngis', '#tweetaz', '#rvbw']","['mā', 'ufb', 'ka', 'rapu', 'tāne', 'ahau', 'mo', 'ia', 'rā', 'valentines']",['valentines'],[],[],"['mā', 'ka', 'rapu', 'tāne', 'ahau', 'ia', 'rā', 'ufb', 'mo']"
1004,x13,Our beautiful punga @ Aro Valley <link>,[],"['our', 'beautiful', 'punga', 'aro', 'valley']",['valley'],[],"['our', 'beautiful']","['punga', 'aro']"
1005,x14,#TeKaea tommorow Maori Television Online special of #IkaroaRawhiti special <link>,"['#tekaea', '#ikaroarawhiti']","['tommorow', 'maori', 'television', 'online', 'special', 'of', 'special']",['tommorow'],[],"['television', 'online', 'special', 'of', 'special']",['maori']
1006,x15,<user> <user> too māori for pākehā bt too pākehā for māori,[],"['too', 'māori', 'for', 'pākehā', 'bt', 'too', 'pākehā', 'for', 'māori']",['too'],[],"['for', 'bt', 'for']","['māori', 'pākehā', 'pākehā', 'māori', 'too']"
1007,x16,"<user> <user> <user> <user> <user> Tomato pure, I mean.",[],"['tomato', 'pure', 'i', 'mean']",[],[],"['tomato', 'pure', 'i', 'mean']",[]
1008,x17,<user> really touching story tonite with Hoani John. Tino pai!!,[],"['really', 'touching', 'story', 'tonite', 'with', 'hoani', 'john', 'tino', 'pai']",[],[],"['really', 'touching', 'story', 'tonite', 'with', 'john']","['hoani', 'tino', 'pai']"
1009,x18,Ohhhh he's tooo cute!! Manukura Little White Kiwi <3 <link>,[],"['ohhhh', 'he', 'is', 'tooo', 'cute', 'manukura', 'little', 'white', 'kiwi']","['ohhhh', 'kiwi']",[],"['he', 'is', 'tooo', 'cute', 'little', 'white']",['manukura']
1010,x19,smashed those sausage rolls at morning tea. #NgaKaiPai #HangiApopo <link>,"['#ngakaipai', '#hangiapopo']","['smashed', 'those', 'sausage', 'rolls', 'at', 'morning', 'tea']",[],[],"['smashed', 'those', 'sausage', 'at', 'morning', 'tea', 'rolls']",[]
